30 3 3.0 30
0 1.0 5.0 1.0 2.0
1 2.0 6.0 1.1 3.0
2 3.0 7.0 1.2 4.0
3 4.0 8.0 1.3 5.0
4 5.0 9.0 1.4 6.0
5 6.0 10.0 1.5 7.0
6 7.0 11.0 1.6 8.0
7 8.0 12.0 1.7 9.0
8 9.0 13.0 1.8 10.0
9 10.0 14.0 1.9 11.0
10 11.0 15.0 2.0 12.0
11 12.0 16.0 2.1 13.0
12 13.0 17.0 2.2 14.0
13 14.0 18.0 2.3 15.0
14 15.0 19.0 2.4 16.0
15 16.0 20.0 2.5 17.0
16 17.0 21.0 2.6 18.0
17 18.0 22.0 2.7 19.0
18 19.0 23.0 2.8 20.0
19 20.0 24.0 2.9 21.0
20 21.0 25.0 3.0 22.0
21 22.0 26.0 3.1 23.0
22 23.0 27.0 3.2 24.0
23 24.0 28.0 3.3 25.0
24 25.0 29.0 3.4 26.0
25 26.0 30.0 3.5 27.0
26 27.0 31.0 3.6 28.0
27 28.0 32.0 3.7 29.0
28 29.0 33.0 3.8 30.0
29 30.0 34.0 3.9 31.0
